time,NasalFlow_cmH2O,SpO2_pct,Activity_gps,PosAngle_deg,AudioVolume_dB,cRIP_Flow
779.1,0.0039043647798742156,91.884674,0.356922,76.618127,74.481799,-4.088050314465404e-07
795.0,-0.001569905660377358,92.032533,0.244002,77.442139,76.801241,1.1257861635220124e-06
810.9,-0.01582274213836478,92.992933,0.067907,76.770722,71.857168,7.729559748427673e-06
826.8,0.01161367924528302,92.998788,0.062414,76.740203,70.880561,-4.748427672955975e-06
842.7,0.00405708176100629,93.001419,0.06394,76.648646,71.338345,-1.3647798742138363e-06
858.6,-0.011087138364779875,93.001419,0.06394,76.557089,71.643535,6.5345911949685535e-06
874.5,0.010275792452830189,93.001419,0.067602,76.587608,71.704573,-4.446540880503145e-06
890.4,-0.0020742955974842763,92.972505,0.075537,76.557089,71.338345,1.5660377358490564e-06
906.3,0.0021244528301886793,91.87144,0.109718,76.373975,78.571341,-1.1006289308176104e-06
922.2,0.0009692578616352203,91.888777,0.068212,76.190861,72.10132,3.7106918238993744e-07
938.1,-0.005740037735849057,93.001419,0.081336,76.22138,71.368864,3.3522012578616354e-06
954.0,0.004844496855345912,93.001419,0.076147,76.22138,71.582497,-2.4465408805031446e-06
969.9,-0.0008212452830188681,93.001419,0.066992,76.22138,71.826649,1.0377358490566036e-06
985.8,-0.015025974842767296,92.929843,0.076147,76.22138,71.368864,7.408805031446541e-06
1001.7,0.0046954465408805025,91.863986,0.078284,76.251899,71.338345,-2.2704402515723274e-06
1017.6,0.0047278930817610055,91.862699,0.091102,76.312937,71.307826,-1.8867924528301885e-06
1033.5,0.002462999999999999,92.691246,0.090186,76.251899,71.21627,3.773584905660333e-08
1049.4,-0.00624188679245283,92.060752,0.229047,76.251899,85.041362,2.89937106918239e-06
1065.3,0.0054417547169811325,92.847719,0.059667,76.22138,72.437028,-1.3836477987421382e-06
1081.2,0.005769635220125786,92.88403,0.056005,76.129823,73.627268,-2.3207547169811317e-06
1097.1,-0.0026303836477987413,92.874904,0.085913,76.435013,72.68118,2.9748427672955977e-06
1113.0,-0.0029302264150943393,92.874904,0.082556,76.038266,72.253914,1.389937106918239e-06
1128.9,-0.011822163522012579,92.786731,0.0557,75.946709,72.406509,4.672955974842767e-06
1144.8,0.010371138364779875,92.950089,0.089881,75.946709,72.528585,-4.220125786163522e-06
1160.7,0.003929893081761006,92.786731,0.05631,75.916191,72.040282,1.8867924528302347e-08
1176.6,-0.007990591194968552,93.001419,0.058141,75.946709,72.223395,3.886792452830189e-06
1192.5,0.0023302327044025166,92.799444,0.122841,75.946709,75.397368,-3.6729559748427664e-06
1208.4,0.003534672955974842,91.882539,0.069433,75.977228,72.070801,-3.5849056603773576e-07
1224.3,-0.003149710691823898,92.7846,0.060583,75.885672,72.345471,2.0566037735849054e-06
1240.2,-0.008188194968553457,92.984913,0.074316,75.946709,71.551978,3.911949685534591e-06
1256.1,0.005595698113207546,92.888823,0.085608,75.946709,72.070801,-1.8490566037735848e-06
1272.0,0.006395584905660377,92.851656,0.08042,75.885672,72.131839,-2.1446540880503145e-06
1287.9,-0.003889050314465408,92.834465,0.057836,75.916191,72.10132,2.408805031446541e-06
1303.8,-0.010301025157232704,93.40759,0.092322,75.916191,71.826649,3.9622641509433956e-06
1319.7,-0.0039034088050314453,92.894131,0.062109,75.885672,71.551978,2.176100628930817e-06
1335.6,0.006113201257861635,92.816665,0.07218,75.885672,71.887687,-1.6352201257861638e-06
1351.5,0.007282698113207546,93.001419,0.060888,75.855153,71.735092,-2.49685534591195e-06
1367.4,0.002499792452830189,93.001419,0.066076,75.855153,71.613016,8.805031446540882e-08
1383.3,-0.0019340314465408797,93.001419,0.071875,75.855153,72.131839,1.358490566037736e-06
1399.2,-0.007115333333333333,92.982188,0.066381,75.855153,71.979244,3.295597484276729e-06
1415.1,0.007911132075471698,91.869881,0.09568,76.251899,80.280403,-3.660377358490566e-06
1431.0,0.002286000000000001,91.869881,0.068823,76.435013,71.460421,4.088050314465411e-07
1446.9,-0.004250660377358491,92.845099,0.079199,76.373975,67.859183,2.169811320754717e-06
1462.8,0.005231012578616353,93.078326,0.081641,76.373975,66.852057,-1.6855345911949686e-06
1478.7,-0.0005992327044025154,92.820307,0.115822,76.373975,67.584512,9.622641509433963e-07
1494.6,-0.000314358490566037,92.863221,0.070044,76.312937,67.462437,6.792452830188682e-07
1510.5,-0.010228679245283019,91.824318,0.067297,76.312937,70.453295,3.553459119496855e-06
1526.4,0.005089496855345914,91.803323,0.089271,76.404494,68.469563,-1.2578616352201266e-07
1542.3,-0.008985591194968553,92.919601,0.053869,76.373975,66.852057,2.6289308176100626e-06
1558.2,-0.0001629056603773576,92.07453,0.065161,76.435013,67.64555,7.924528301886794e-07
1574.1,0.006578886792452831,92.854159,0.07218,76.312937,67.309842,-7.169811320754719e-07
1590.0,0.0028008742138364785,93.001419,0.0557,76.343456,67.431918,-3.2704402515723275e-07
1605.9,-0.0057550062893081755,93.001419,0.051122,76.312937,70.880561,2.440251572327044e-06
